10,16
-11.5555555555556d0, -8.66666666666667d0, -6.93333333333333d0, -5.77777777777778d0, -9.62962962962963d0, -7.22222222222222d0, -5.77777777777778d0, -4.81481481481481d0, -8.25396825396825d0, -6.19047619047619d0, -4.95238095238095d0, -4.12698412698412d0, -7.22222222222222d0, -5.41666666666666d0, -4.33333333333333d0, -3.61111111111111d0
-28.5261183040327d0, -21.3945887280245d0, -17.1156709824196d0, -14.2630591520164d0, -23.7717652533606d0, -17.8288239400204d0, -14.2630591520164d0, -11.8858826266803d0, -20.3757987885948d0, -15.2818490914461d0, -12.2254792731569d0, -10.1878993942974d0, -17.8288239400204d0, -13.3716179550153d0, -10.6972943640123d0, -8.91441197001022d0
-0.888888888888885d0, -0.666666666666667d0, -0.533333333333334d0, -0.444444444444442d0, -0.740740740740739d0, -0.555555555555559d0, -0.444444444444442d0, -0.370370370370369d0, -0.634920634920635d0, -0.476190476190476d0, -0.380952380952381d0, -0.317460317460317d0, -0.555555555555559d0, -0.416666666666667d0, -0.333333333333334d0, -0.277777777777779d0
-31.8659932488156d0, -23.8994949366117d0, -19.1195959492893d0, -15.9329966244078d0, -26.5549943740130d0, -19.9162457805097d0, -15.9329966244078d0, -13.2774971870065d0, -22.7614237491539d0	-17.0710678118655d0, -13.6568542494924d0, -11.3807118745770d0, -19.9162457805097d0, -14.9371843353823d0, -11.9497474683058d0, -9.95812289025486d0
7.11111111111111d0, 5.33333333333334d0, 4.26666666666666d0 3.55555555555555d0, 5.92592592592593d0, 4.44444444444445d0, 3.55555555555555d0, 2.96296296296296d0, 5.07936507936508d0, 3.80952380952381d0, 3.04761904761904d0, 2.53968253968254d0, 4.44444444444445d0, 3.33333333333333d0, 2.66666666666667d0, 2.22222222222222d0
-16.5392015269317d0, -12.4044011451988d0, -9.92352091615904d0, -8.26960076346587d0, -13.7826679391098d0, -10.3370009543323d0, -8.26960076346587d0, -6.89133396955489d0, -11.8137153763798d0, -8.86028653228487d0, -7.08822922582788d0, -5.90685768818990d0, -10.3370009543323d0, -7.75275071574925d0, -6.20220057259941d0, -5.16850047716617d0
-2.66666666666667d0, -2.00000000000000d0, -1.60000000000000d0, -1.33333333333333d0, -2.22222222222222d0, -1.66666666666667d0, -1.33333333333333d0, -1.11111111111111d0, -1.90476190476190d0, -1.42857142857143d0, -1.14285714285714d0, -0.952380952380952d0, -1.66666666666667d0, -1.25000000000000d0, -1.00000000000000d0, -0.833333333333334d0
-35.5293891097575d0, -26.6470418323181d0, -21.3176334658545d0, -17.7646945548787d0, -29.6078242581312d0, -22.2058681935984d0, -17.7646945548787d0, -14.8039121290656d0, -25.3781350783982d0, -19.0336013087986d0, -15.2268810470389d0, -12.6890675391991d0, -22.2058681935984d0, -16.6544011451988d0, -13.3235209161590d0, -11.1029340967992d0
-2.66666666666667d0, -2.d0, -1.60000000000000d0, -1.33333333333333d0, -2.22222222222222d0, -1.66666666666667d0, -1.33333333333333d0, -1.11111111111111d0, -1.90476190476190d0, -1.42857142857143	-1.14285714285714d0, -0.952380952380952d0, -1.66666666666667d0, -1.25000000000000d0, -1.00000000000000d0, -0.833333333333334d0
-28.2025973878736d0, -21.1519480409052d0, -16.9215584327242d0, -14.1012986939368d0, -23.5021644898947d0, -17.6266233674210d0, -14.1012986939368d0, -11.7510822449474d0, -20.1447124199097d0, -15.1085343149323d0, -12.0868274519458d0, -10.0723562099549d0, -17.6266233674210d0, -13.2199675255658d0, -10.5759740204526d0, -8.81331168371052d0
